level,category,title,author,desc,img,link
Lv.0,,현자 나탄,고트홀트 레싱,"시민 비극의 창조자, 독일 근대 희곡의 아버지로 칭송되는 레싱의 대표작. 기독교인에게 몰살당해 일곱 자식을 잃고도 기독교인의 아이를 양녀로 받아들여 정성을 다해 기르는 나탄. 그는 모진 시련을 겪었지만 특정 종파나 민족을 초월해 인간성과 사랑을 실천하며 살아가야 함을 주장한다. 민족적·종교적 분쟁이 끊임없이 발생하고 있는 지금 이 시대에, 이 작품이 제시하는 인도주의와 관용의 정신에 우리는 주목해야 한다.",현자 나탄.jpg,/Lessing/?idx=361
Lv.1,가족,빈손으로 가는 인생,"조지 코프먼, 모스 하트","1936년 브로드웨이 초연 당시 837회 공연이라는 흥행 기록을 보유한 대중성 높은 미국 드라마다. 영화로도 제작되어 우리나라에선 [우리들의 낙원]이란 제목으로 개봉했다. 극본은 퓰리처상을, 영화는 아카데미상을 수상하며 작품성을 인정받았다.",빈손으로 가는 인생.jpg,/social_problem/?idx=114
Lv.1,인간관계,무대 게임,빅토르 아임,극작가 겸 연출가 제르트뤼드와 여배우 오르탕스가 공연 연습 첫날 무대에서 만나 서로에 대한 칭찬과 감탄으로 대화를 시작한다. 그러나 이내 다정했던 대화에 금이 가기 시작하고 두 사람은 서서히 맹수처럼 서로를 할퀴고 물어뜯는다. 작가 빅토르 아임에게 2003년 몰리에르 최우수극작가상을 안겨 준 풍자 코미디 극이다.,무대 게임.jpg,/Haim/?idx=173
Lv.1,사랑,로미오와 줄리엣,윌리엄 셰익스피어,이탈리아어로 된 포르토의 작품을 페인터가 ‘쾌락의 궁전’이라는 제목으로 영역해 출판했다. 13세기부터 전해 내려오는 반목하는 원수 가문의 연인 이야기가 셰익스피어 손에서 ＜로미오와 줄리엣＞이라는 불멸의 고전으로 재탄생했다.,로미오와 줄리엣.jpg,/Shakespeare/?idx=238
Lv.1,직업,굿 닥터,닐 사이먼,"＜굿 닥터＞는 닐 사이먼이 체호프에 대한 존경을 담아 그의 가장 유명한 단편들 중 일부를 유머러스하게 각색한 옴니버스극이다. 1973년 초연되었다. 복잡한 인간관계의 본질, 일상에서 마주하게 되는 다양한 감정과 경험을 코믹하게 탐구하고 있다.",굿 닥터.jpg,/Simon/?idx=102
Lv.1,정체성,안티고네,소포클레스,소포클레스의 ‘오이디푸스 3부작’의 마지막을 장식하는 그리스 비극의 대표작이다. 신법과 국법의 양극단에서 대립하는 인물들이 가혹한 운명으로 인해 고통을 받고 오만함으로 인해 파멸한다. 인간이 어찌할 수 없는 불가해한 힘이 인간의 한계와 비극적인 모습을 적나라하게 드러낸다. 삶의 비극적인 모습에 대한 시대를 뛰어넘는 통찰은 우리 자신을 비추는 거울이 될 것이다.,안티고네.jpg,/family/?idx=36
Lv.1,사회문제,천국으로 가는 길,후안 마요르가,스페인 극작가 후안 마요르가의 희곡이다. 마요르가는 서문에서 우리에게 제2차 세계대전 당시 유대인 학살을 감행했던 포로수용소를 소재로 한 이 작품을 통해 ‘문명과 야만 사이의 동맹’에 대해 성찰하고 ‘연극의 부정확한 힘’을 느껴 보라고 말한다.,천국으로 가는 길.jpg,/social_problem/?idx=204
Lv.2,가족,지평선 너머,유진 오닐,"유진 오닐에게 첫 퓰리처상 수상을 안긴 작품이다. 메이오가의 성향이 다른 두 형제 로버트와 앤드루, 그리고 이들과 삼각관계로 얽히게 되는 루스라는 여인의 굴곡진 삶을 그렸다. 순리를 거스른 삶의 비극적 말로를 보여 준다. 사실주의 경향이 농후한 이 작품은 유진 오닐 후기의 원숙한 비극으로 발전할 씨앗을 배태하고 있다는 평가를 받는다.",지평선 너머.jpg,/family/?idx=111
Lv.2,인간관계,벚나무 동산,안톤 파블로비치 체호프,체호프의 4대 희곡의 하나이자 그의 마지막 작품. 삶과 현실의 문제를 보다 예술적-미학적으로 그리고 있다. 또한 우리는 이 작품을 통해 19세기 말의 리얼리즘과 20세기 초의 모더니즘이라는 두 개의 문화 패러다임의 접점에서 생겨난 동시대의 새로운 사상적-미학적 상황도 감지할 수 있다.,벚나무 동산.jpg,/community/?idx=631
Lv.2,사랑,아무것도 아닌 일로,나탈리 사로트,"나탈리 사로트가 “트로피즘”으로 명명한 작가 특유의 문학적 개성이 잘 드러난 작품. 사소한 언쟁이 계기가 되어 점점 두 남자 내면의 감정이 폭발해 가기 시작한다. 누보로망 양식의 선구자이자 현대 프랑스 연극사에서 가장 혁신적이고 탁월한 극작가로 평가되는 사로트는 야스미나 레자, 플로리앙 젤레르 등에게 영향을 미쳤다.",아무것도 아닌 일로.jpg,/171/?idx=213
Lv.2,직업,리어 왕,윌리엄 셰익스피어,"셰익스피어는 개인의 문제부터 가정, 국가, 그리고 자연과 운명이라는 문제, 그리고 청년에서 노년에 이르기까지 인생 전반에 대한 문제 등 문학 작품들에서 다룰 수 있는 광범위한 주제를 한 작품 속에 집약하고 있다. 따라서 시적 표현의 탁월함뿐 아니라 주제의 폭에서 <리어 왕>은 셰익스피어의 4대 비극 중 가장 심오하고 진지한 세계를 그려내고 있다.",리어 왕.jpg,/Shakespeare/?idx=252
Lv.2,정체성,오이디푸스 왕,소포클레스,테베에 역병이 돈다. 테베 왕 오이디푸스에게 선대왕 라이오스 살해자를 테베 땅에서 추방하라는 신탁이 전해진다. 그로부터 오이디푸스가 짊어져야 할 비극적 운명의 실체가 드러난다.,오이디푸스 왕.jpg,/family/?idx=37
Lv.2,사회문제,쇄골에 천사가 잠들고 있다,핑크 지저인 3호,"산 자와 죽은 자가 과거와 현재를 넘나들며 상처를 나누고 서로를 이해해 가는 과정을 그린 청춘 군상극이다. 현재 일본에서 가장 주목받는 극작가 핑크 지저인 3호는 이 작품으로 일본극작가협회에서 수여하는 신인희곡상을 수상했다. 일상적인 장면 속에서 세상의 비주류로 낙인찍힌 사람들, 쉽게 비정상으로 치부되는 존재들과 그들의 ‘마이너리티’에 대해 이야기한다. 전쟁, 죽음, 사랑, 폭력을 다루며 죽은 자를 기억하고 이야기하는 것은 산 자의 몫이라는 메시지를 담담하게 전한다.",쇄골에 천사가 잠들고 있다.jpg,/social_problem/?idx=751
